reaction_id,loopless_flux,standard_flux,delta
ACPPAT161,0.0,0.0,0.0
ACPPAT180,0.0,0.0,0.0
ACPPAT181,0.0,0.0,0.0
ACPS,-1.6768042151910968e-15,4.164835351047507e-15,-5.841639566238604e-15
ACPS1,0.0,0.0,0.0
ACPS1_1,0.0,0.0,0.0
ACPpds,0.0,0.0,0.0
ACS,19.99999999999968,20.0000000000002,-5.186961971048731e-13
ACS2,0.0,0.0,0.0
ACSERHS,0.0,0.0,0.0
ACS_1,0.0,0.0,0.0
ACTD,0.0,0.0,0.0
ACTD2,0.0,0.0,0.0
ACTD_1,0.0,0.0,0.0
ACTDa,0.0,0.0,0.0
ACTNabc,0.0,0.0,0.0
ACTNabc1,0.0,0.0,0.0
ACt2rpp,0.0,0.0,0.0
ACt4pp,0.0,0.0,0.0
ACtex,0.0,0.0,0.0
ADADir,0.0,0.0,0.0
ADAPAT,0.0,0.0,0.0
ADCL,0.0,0.0,0.0
ADCS,0.0,0.0,0.0
ADD,0.0,0.0,0.0
ADK1,9.999999999999957,10.000000000000146,-1.8829382497642655e-13
ADK2,0.0,0.0,0.0
ADMDC,0.0,0.0,0.0
ADNCYC,0.0,0.0,0.0
ADNK1,0.0,-4.131711514665965e-15,4.131711514665965e-15
ADNUC,0.0,0.0,0.0
ADNt2pp,0.0,0.0,0.0
ADPDA,0.0,0.0,0.0
ADPGLC,0.0,0.0,0.0
ADPRDP,0.0,0.0,0.0
ADPRDP_1,0.0,0.0,0.0
ADPT,0.0,0.0,0.0
ADSK,0.0,0.0,0.0
ADSL1r,0.0,0.0,0.0
ADSL2r,0.0,0.0,0.0
ADSS,0.0,0.0,0.0
ADtr,0.0,0.0,0.0
AEPPYRTA,0.0,0.0,0.0
AEPabcpp,0.0,0.0,0.0
AEPtex,0.0,0.0,0.0
AGDC,0.0,0.0,0.0
AGM3PApp,0.0,0.0,0.0
AGM3PH,0.0,0.0,0.0
AGM4PApp,0.0,0.0,0.0
AGM4PCP,0.0,0.0,0.0
AGM4PH,0.0,0.0,0.0
AGM4Pt2pp,0.0,0.0,0.0
AGMH,0.0,0.0,0.0
AGMPTRCtpp,0.0,0.0,0.0
AGMT,0.0,0.0,0.0
AGMt2pp,0.0,0.0,0.0
AGMtex,0.0,0.0,0.0
AGPAT160,0.0,0.0,0.0
AGPAT161,0.0,0.0,0.0
AGPAT180,0.0,0.0,0.0
AGPAT181,0.0,0.0,0.0
AGPATr_BS,0.0,0.0,0.0
AGPR,0.0,0.0,0.0
AH6PI,-9.999999999999996,-9.999999999999998,1.7763568394002505e-15
AHCYSNS,0.0,0.0,0.0
AHCi,0.0,0.0,0.0
AHMMPS_1,0.0,0.0,0.0
AHSERL2,0.0,0.0,0.0
AHSERL4,0.0,0.0,0.0
AI2tex,0.0,0.0,0.0
AI2tpp,0.0,0.0,0.0
AICART,0.0,0.0,0.0
AIRC1,0.0,0.0,0.0
AIRCr,0.0,0.0,0.0
AKGDH,0.0,0.0,0.0
AKP1,0.0,0.0,0.0
ALAALAabcpp,0.0,0.0,0.0
ALAALAr,0.0,0.0,0.0
ALAD_L,0.0,0.0,0.0
ALAGLNtr,0.0,0.0,0.0
ALAGLUabcpp,0.0,0.0,0.0
ALAGLYtr,0.0,0.0,0.0
ALAHISabcpp,0.0,0.0,0.0
ALAHIStex,0.0,0.0,0.0
ALAHIStr,0.0,0.0,0.0
ALALEUabcpp,0.0,0.0,0.0
ALALEUt,0.0,0.0,0.0
ALALEUtex,0.0,0.0,0.0
ALAR,0.0,0.0,0.0
ALATA_D,0.0,0.0,0.0
ALATA_D2,0.0,0.0,0.0
ALATA_L,0.0,0.0,0.0
ALATA_L2,0.0,0.0,0.0
ALATHRabcpp,0.0,0.0,0.0
ALATHRtex,0.0,0.0,0.0
ALATHRtr,0.0,0.0,0.0
ALATRPabcpp,0.0,0.0,0.0
ALATRPtex,0.0,0.0,0.0
ALAabc,0.0,0.0,0.0
ALAabcpp,0.0,0.0,0.0
ALAt2pp,0.0,0.0,0.0
ALAt2r,0.0,0.0,0.0
ALAt4,0.0,0.0,0.0
ALAtex,-9.99999999999969,-10.0,3.1086244689504383e-13
ALAtpp,9.999999999999691,10.000000000000002,-3.1086244689504383e-13
ALCD19,0.0,0.0,0.0
ALCD19y,-10.0,-10.0,0.0
ALCD2ir,0.0,0.0,0.0
ALCD2x,10.00000000000002,10.00000000000002,0.0
ALCD2y,0.0,0.0,0.0
ALDD1,0.0,0.0,0.0
ALDD19xr,0.0,0.0,0.0
ALDD20x,0.0,0.0,0.0
ALDD20y,0.0,0.0,0.0
ALDD2x,0.0,0.0,0.0
ALDD2y,0.0,0.0,0.0
ALDD3,0.0,0.0,0.0
ALDD31_1,0.0,0.0,0.0
ALDD3y,0.0,0.0,0.0
ALDD4,0.0,0.0,0.0
ALDD6,0.0,0.0,0.0
ALKP,0.0,0.0,0.0
ALLTAMH,0.0,0.0,0.0
ALLTN,0.0,0.0,0.0
ALPHNH,0.0,0.0,0.0
ALR2,0.0,0.0,0.0
ALR3,0.0,0.0,0.0
ALR4x,0.0,0.0,0.0
ALTRH,0.0,0.0,0.0
AM3PA,0.0,0.0,0.0
AM4PA,0.0,0.0,0.0
AMANAPEr,0.0,0.0,0.0
AMANK,0.0,0.0,0.0
AMANK_1,0.0,0.0,0.0
AMID4,0.0,0.0,0.0
AMID_1,0.0,0.0,0.0
AMMQLT8,0.0,0.0,0.0
AMMQT8_2,0.0,0.0,0.0
AMPD2,-2.95260020795238e-15,-1.1040575226145133e-14,8.087975018192753e-15
AMPEP1,0.0,0.0,0.0
AMPEP10,0.0,0.0,0.0
AMPEP11,0.0,0.0,0.0
AMPEP12,0.0,0.0,0.0
AMPEP13,0.0,0.0,0.0
AMPEP14,0.0,0.0,0.0
AMPEP15,0.0,0.0,0.0
AMPEP16,0.0,0.0,0.0
AMPEP17,0.0,0.0,0.0
AMPEP18,0.0,0.0,0.0
AMPEP2,0.0,0.0,0.0
AMPEP3,0.0,0.0,0.0
AMPEP4,0.0,0.0,0.0
AMPEP5,0.0,0.0,0.0
AMPEP6,0.0,0.0,0.0
AMPEP7,0.0,0.0,0.0
AMPEP8,0.0,0.0,0.0
AMPEP9,0.0,0.0,0.0
AMPTASEAH,0.0,0.0,0.0
AMPTASEAL,0.0,0.0,0.0
AMPTASEAT,0.0,0.0,0.0
AMPTASEATRP,0.0,0.0,0.0
AMPTASECG,0.0,0.0,0.0
AMPTASEGGLN,0.0,0.0,0.0
AMPTASEGGLU,0.0,0.0,0.0
AMPTASEGM,0.0,0.0,0.0
AMPTASEGS,0.0,0.0,0.0
AMPTASEHG,0.0,0.0,0.0
AMPTASEHH,0.0,-3.0639580949473595e-16,3.0639580949473595e-16
AMPTASEPG,0.0,0.0,0.0
ANHMK,0.0,0.0,0.0
ANPRT,0.0,0.0,0.0
ANS,0.0,0.0,0.0
ANS2,0.0,0.0,0.0
ANSN,0.0,0.0,0.0
AP4AH,0.0,0.0,0.0
AP4AS,0.0,0.0,0.0
APATi,0.0,0.0,0.0
APG3PAT160,0.0,0.0,0.0
APG3PAT161,0.0,0.0,0.0
APG3PAT180,0.0,0.0,0.0
APG3PAT181,0.0,0.0,0.0
APRAUR,0.0,0.0,0.0
APRTO2,0.0,0.0,0.0
APSR,0.0,0.0,0.0
APTA1i,0.0,0.0,0.0
APTNAT,0.0,0.0,0.0
ARABRr,0.0,0.0,0.0
ARBTpts,0.0,0.0,0.0
ARBabc,0.0,0.0,0.0
ARBt2r,0.0,0.0,0.0
ARGDC,0.0,0.0,0.0
ARGDI_1,0.0,0.0,0.0
ARGDr,0.0,0.0,0.0
ARGN_1,0.0,0.0,0.0
ARGSL,0.0,0.0,0.0
ARGSS,0.0,0.0,0.0
ARGabc,0.0,0.0,0.0
ARGt2r,0.0,0.0,0.0
ASAD,0.0,-4.6588740122345e-15,4.6588740122345e-15
ASNN,0.0,0.0,0.0
ASNS1,0.0,0.0,0.0
ASNabc,0.0,0.0,0.0
ASNt4,0.0,0.0,0.0
ASP1DC,0.0,0.0,0.0
ASPCT,0.0,0.0,0.0
ASPCT_2,0.0,0.0,0.0
ASPK,0.0,2.0663270946622574e-15,-2.0663270946622574e-15
ASPO1,0.0,0.0,0.0
ASPO6,0.0,0.0,0.0
ASPTA,0.0,-5.3568805868266855e-14,5.3568805868266855e-14
ASPTA6,0.0,-3.750539944679775e-14,3.750539944679775e-14
ASPabc,0.0,0.0,0.0
ASPt2_2pp,0.0,0.0,0.0
ASPt2pp,0.0,0.0,0.0
ASPt2r,0.0,0.0,0.0
ASPtpp,0.0,0.0,0.0
ATAH_1,0.0,0.0,0.0
ATHRDHr,0.0,6.7948311707123554e-15,-6.7948311707123554e-15
ATPHs,0.0,0.0,0.0
ATPPRT,0.0,0.0,0.0
ATPX5P,0.0,0.0,0.0
BALAALAabcpp,0.0,0.0,0.0
BALAALAtex,0.0,0.0,0.0
BALABALAabcpp,0.0,0.0,0.0
BALABALAtex,0.0,0.0,0.0
BALAGLYabcpp,0.0,0.0,0.0
BALAGLYtex,0.0,0.0,0.0
BALALEUabcpp,0.0,0.0,0.0
BALALEUtex,0.0,0.0,0.0
BALAMDAH,0.0,0.0,0.0
BALAt2pp,0.0,0.0,0.0
BALAt2r,0.0,0.0,0.0
BALAtex,0.0,0.0,0.0
BDH,6.001785714285179,6.001785714285705,-5.258016244624741e-13
BETALDHx,0.0,0.0,0.0
BETALDHy,0.0,0.0,0.0
BGLA,0.0,0.0,0.0
BGLA1,0.0,0.0,0.0
BGLK,0.0,0.0,0.0
BG_CELLB,0.0,0.0,0.0
BG_MADG,0.0,0.0,0.0
BG_MBDG,0.0,0.0,0.0
BHBtpp,6.001785714285179,6.001785714285705,-5.258016244624741e-13
BLAMDabcpp,0.0,0.0,0.0
BLAMDtex,0.0,0.0,0.0
BPNT_1,-1.6768042151910972e-15,4.164835351047507e-15,-5.841639566238604e-15
BSCT,0.0,0.0,0.0
BTDD_RR,0.0,0.0,0.0
BTNTe,0.0,0.0,0.0
BTNt,0.0,0.0,0.0
BTNt2i,0.0,0.0,0.0
BTS3r,0.0,0.0,0.0
BUTCT,10.000000000000197,10.000000000000206,-8.881784197001252e-15
BUTCT2,0.0,0.0,0.0
BUTKr,-10.000000000000199,-10.0,-1.9895196601282805e-13
BUTSO3abcpp,0.0,0.0,0.0
BUTSO3tex,0.0,0.0,0.0
BUTt2rpp,0.0,0.0,0.0
BUTt4pp,0.0,0.0,0.0
BUTtex,0.0,0.0,0.0
BZDH,0.0,0.0,0.0
BZt,0.0,0.0,0.0
C4HP,0.0,0.0,0.0
CA2abc1,0.0,0.0,0.0
CA2tex,0.0,0.0,0.0
CARNabcpp,0.0,0.0,0.0
CARNtex,0.0,0.0,0.0
CAT,0.0,0.0,0.0
CAt4,0.0,0.0,0.0
CBPS,0.0,0.0,0.0
CBPS_1,0.0,0.0,0.0
CD2abc1,0.0,0.0,0.0
CD2abcpp,0.0,0.0,0.0
CD2t3pp,0.0,0.0,0.0
CD2t4,0.0,0.0,0.0
CD2t4pp,0.0,0.0,0.0
CD2t5,0.0,0.0,0.0
CD2t6,0.0,0.0,0.0
CD2tex,0.0,0.0,0.0
CD2tpp,0.0,0.0,0.0
CDGUNPD,0.0,0.0,0.0
CDPMEK,0.0,0.0,0.0
CDPPH,0.0,0.0,0.0
CDPPT160,0.0,0.0,0.0
CELBpts,0.0,0.0,0.0
CELBt2,0.0,0.0,0.0
CELLBabc,0.0,0.0,0.0
CELLBpts_2,0.0,0.0,0.0
CGLYabcpp,0.0,0.0,0.0
CHLabc,0.0,0.0,0.0
CHOLD,0.0,0.0,0.0
CHORM,0.0,0.0,0.0
CHORS,0.0,0.0,0.0
CITt14,0.0,0.0,0.0
CITt3pp,0.0,0.0,0.0
CITt4pp_1,0.0,0.0,0.0
CITtupp,0.0,0.0,0.0
CLtex,0.0,0.0,0.0
CMCBTFexs,0.0,0.0,0.0
CMPDAi,0.0,0.0,0.0
CO2t,0.0,0.0,0.0
CO2tex,0.0,0.0,0.0
CO2tpp,0.0,0.0,0.0
COBALT2abcpp,0.0,0.0,0.0
COBALT2t3pp,0.0,0.0,0.0
COBALT2tex,0.0,0.0,0.0
COBALTt4pp,0.0,0.0,0.0
COBALTt5,0.0,0.0,0.0
COabc,0.0,0.0,0.0
COt_1,0.0,0.0,0.0
CPGNexs,0.0,0.0,0.0
CPPPGO,0.0,0.0,0.0
CRO4abcpp,0.0,0.0,0.0
CRO4t3,0.0,0.0,0.0
CRO4t3pp,0.0,0.0,0.0
CRO4tex,0.0,0.0,0.0
CS,0.0,0.0,0.0
CTECOAI6,0.0,0.0,0.0
CTECOAI7,0.0,0.0,0.0
CTECOAI8,0.0,0.0,0.0
CTPS1,-1.1102230246251193e-15,-1.0695025829833219e-16,-1.003272766326787e-15
CTPS2,0.0,0.0,0.0
CU2abcpp,0.0,0.0,0.0
CU2tex,0.0,0.0,0.0
CU2tpp,0.0,0.0,0.0
CYS,0.0,8.055774830259833e-19,-8.055774830259833e-19
CYSDS,-1.6768042151910972e-15,4.164835351047507e-15,-5.841639566238604e-15
CYSGL,0.0,0.0,0.0
CYSK2_I,0.0,0.0,0.0
CYSS,0.0,0.0,0.0
CYSS_2,0.0,0.0,0.0
CYSTGL,0.0,-8.055774830259831e-19,8.055774830259831e-19
CYSTL,0.0,0.0,0.0
CYSTS,0.0,-8.055774830259831e-19,8.055774830259831e-19
CYST_II,0.0,0.0,0.0
CYSabc,0.0,0.0,0.0
CYSabc2pp,0.0,0.0,0.0
CYSabcpp,0.0,0.0,0.0
CYStpp,0.0,0.0,0.0
CYTBD2pp,0.0,0.0,0.0
CYTB_B2,0.0,0.0,0.0
CYTB_B3,6.001785714285512,6.001785714285748,-2.353672812205332e-13
CYTD,0.0,0.0,0.0
CYTDH,0.0,0.0,0.0
CYTDK1,0.0,0.0,0.0
CYTDK2,0.0,0.0,0.0
CYTDt2,0.0,0.0,0.0
CYTDtex,0.0,0.0,0.0
CYTK1,0.0,0.0,0.0
CYTK2,1.1102230246251195e-15,2.1253651671672535e-15,-1.015142142542134e-15
CYTOM,0.0,0.0,0.0
Clt,0.0,0.0,0.0
Cobalt2abcppI,0.0,0.0,0.0
Cotpp,0.0,0.0,0.0
Cut1,0.0,0.0,0.0
D5KGK,0.0,0.0,0.0
D5KGPA,0.0,0.0,0.0
DAAOP,0.0,0.0,0.0
DABAAT2,0.0,0.0,0.0
DACL,0.0,0.0,0.0
DADK,0.0,0.0,0.0
DADNK,0.0,0.0,0.0
DADNK_1,0.0,0.0,0.0
DAGK,0.0,0.0,0.0
DAGK160,0.0,0.0,0.0
DAGK_BS,0.0,0.0,0.0
DALAALAD,0.0,0.0,0.0
DALADALAD,0.0,0.0,0.0
DALAGLYD,0.0,0.0,0.0
DALALEUD,0.0,0.0,0.0
DALAOX,0.0,0.0,0.0
DALAt2pp,0.0,0.0,0.0
DALAt2r,0.0,0.0,0.0
DAPAT,0.0,0.0,0.0
DAPDA,0.0,0.0,0.0
DAPDC,0.0,0.0,0.0
DAPE,0.0,0.0,0.0
DASYN160,0.0,0.0,0.0
DASYN161,0.0,0.0,0.0
DASYN180,0.0,0.0,0.0
DASYN181,0.0,0.0,0.0
DATPHs,0.0,0.0,0.0
DB4PS,0.0,0.0,0.0
DCAtex,0.0,0.0,0.0
DCMPDA,0.0,0.0,0.0
DCYTD,0.0,0.0,0.0
DCYTt2,1.1102230246251195e-15,2.1253651671672535e-15,-1.015142142542134e-15
DDCAtexi,0.0,0.0,0.0
DDGLCNt2r,0.0,0.0,0.0
DDGLK,0.0,0.0,0.0
DDPA,0.0,0.0,0.0
DGK1,2.9526002079523804e-15,1.1027744445034318e-14,-8.075144237081938e-15
DGNSK,0.0,0.0,0.0
DGNSK_1,0.0,0.0,0.0
DGUNC,0.0,0.0,0.0
DH23t,0.0,0.0,0.0
DHACOAH,0.0,0.0,0.0
DHAD1,0.0,0.0,0.0
DHAD2,0.0,-8.05577483025983e-19,8.05577483025983e-19
DHAD3,0.0,0.0,0.0
DHAK,0.0,0.0,0.0
DHAPT,0.0,0.0,0.0
DHBD,0.0,0.0,0.0
DHBSZ3FEexs,0.0,0.0,0.0
DHDPRy,0.0,0.0,0.0
DHDPS,0.0,0.0,0.0
DHFR,0.0,0.0,0.0
DHFS,0.0,0.0,0.0
DHNAOT_1,0.0,0.0,0.0
DHNCOAS,0.0,0.0,0.0
DHNCOAT,0.0,0.0,0.0
DHNPA_1,0.0,0.0,0.0
DHORDi,0.0,0.0,0.0
DHORTS,0.0,0.0,0.0
DHPACCOAHIT,0.0,0.0,0.0
DHPPDA,0.0,0.0,0.0
DHPS,0.0,0.0,0.0
DHPTDCs2,0.0,0.0,0.0
DHQS,0.0,0.0,0.0
DHQTi,0.0,0.0,0.0
DINSK,0.0,0.0,0.0
DIPEPabc1,0.0,0.0,0.0
DIPEPabc10,0.0,0.0,0.0
DIPEPabc12,0.0,0.0,0.0
DIPEPabc13,0.0,0.0,0.0
DIPEPabc14,0.0,0.0,0.0
DIPEPabc15,0.0,0.0,0.0
DIPEPabc3,0.0,0.0,0.0
DIPEPabc8,0.0,0.0,0.0
DKDID,0.0,0.0,0.0
DKMD2K,0.0,0.0,0.0
DM1PE,0.0,0.0,0.0
DMATT,0.0,0.0,0.0
DMPPS,0.0,0.0,0.0
DNADDP,0.0,0.0,0.0
DNMPPA,0.0,0.0,0.0
DNTAep,0.0,0.0,0.0
DNTPPA,0.0,0.0,0.0
DPCOAK,0.0,0.0,0.0
DPR,0.0,0.0,0.0
DRBK,0.0,0.0,0.0
DRIBabc,0.0,0.0,0.0
DRPA,-4.062823232577499e-15,-1.1018435048428951e-14,6.955611815851452e-15
DSERDHr,0.0,0.0,0.0
DSERt2,0.0,0.0,0.0
DSERt2pp,0.0,0.0,0.0
DSERtex,0.0,0.0,0.0
DTMPK,0.0,0.0,0.0
DURIK1,0.0,0.0,0.0
DURIPP,-1.1102230246251193e-15,1.7763568394002505e-15,-2.88657986402537e-15
DURIPP_1,0.0,0.0,0.0
DUTPDP,0.0,0.0,0.0
DXPRIi,0.0,0.0,0.0
DXPS,0.0,0.0,0.0
E4PD,0.0,0.0,0.0
ECOAH1,0.0,0.0,0.0
ECOAH1_1,0.0,0.0,0.0
ECOAH2,0.0,-3.691223673514685e-31,3.691223673514685e-31
ECOAH2c,0.0,1.9841355945648686e-15,-1.9841355945648686e-15
ECOAH3,0.0,-3.6912236735146857e-31,3.6912236735146857e-31
ECOAH4,0.0,-3.6912236735146857e-31,3.6912236735146857e-31
ECOAH5,0.0,0.0,0.0
ECOAH5_1,0.0,-3.691223673514685e-31,3.691223673514685e-31
ECOAH6,0.0,-3.691223673514684e-31,3.691223673514684e-31
ECOAH7,0.0,-2.3118690288773327e-31,2.3118690288773327e-31
ECOAH8,0.0,0.0,0.0
ECOAH9ir,0.0,0.0,0.0
EDA,0.0,0.0,0.0
ENO,9.999999999999686,10.000000000000002,-3.161915174132446e-13
ETHSO3abcpp,0.0,0.0,0.0
ETHSO3tex,0.0,0.0,0.0
ETOHtex,10.00000000000002,10.00000000000002,0.0
ETOHtrpp,10.00000000000002,10.00000000000002,0.0
F1PP,0.0,0.0,0.0
F6PP,0.0,0.0,0.0
FA80ACPHi,0.0,0.0,0.0
FACOAE120,0.0,0.0,0.0
FACOAE140,0.0,0.0,0.0
FACOAE160,0.0,0.0,0.0
FACOAE161,0.0,0.0,0.0
FACOAE180,0.0,0.0,0.0
FACOAL100t2pp,0.0,0.0,0.0
FACOAL120t2pp,0.0,0.0,0.0
FACOAL140,0.0,0.0,0.0
FACOAL140_ISO,0.0,0.0,0.0
FACOAL140t2pp,0.0,0.0,0.0
FACOAL141t2pp,0.0,0.0,0.0
FACOAL150_ISO,0.0,0.0,0.0
FACOAL150_anteiso,0.0,0.0,0.0
FACOAL160,0.0,0.0,0.0
FACOAL160_ISO,0.0,0.0,0.0
FACOAL160t2pp,0.0,0.0,0.0
FACOAL161,0.0,0.0,0.0
FACOAL161t2pp,0.0,0.0,0.0
FACOAL170_ISO,0.0,0.0,0.0
FACOAL170_anteiso,0.0,0.0,0.0
FACOAL180_2,0.0,0.0,0.0
FACOAL180t2pp,0.0,0.0,0.0
FACOAL181,0.0,0.0,0.0
FACOAL181t2pp,0.0,0.0,0.0
FACOAL60t2pp,0.0,0.0,0.0
FACOAL80t2pp,0.0,0.0,0.0
FADH2D,0.0,1.7771713916157058e-14,-1.7771713916157058e-14
FADMQOR,0.0,0.0,0.0
FALDep,9.999999999999996,9.999999999999998,-1.7763568394002505e-15
FAS140,0.0,0.0,0.0
FBA,0.0,0.0,0.0
FBA2,0.0,0.0,0.0
FBA3,2.1347619047617674,2.1347619047618656,-9.814371537686384e-14
FBP,0.0,0.0,0.0
FCLT_2,0.0,0.0,0.0
FDH,0.0,0.0,0.0
FDMO,0.0,0.0,0.0
FDMO3,0.0,0.0,0.0
FDMO3_1,0.0,0.0,0.0
FDMO4,0.0,0.0,0.0
FDMO4_1,0.0,0.0,0.0
FDMO6,0.0,0.0,0.0
FE2Gabcpp,0.0,0.0,0.0
FE2abc,0.0,0.0,0.0
FE2abcpp,0.0,0.0,0.0
FE2t,0.0,0.0,0.0
FE2t3pp,0.0,0.0,0.0
FE2t4pp,0.0,0.0,0.0
FE2tex,0.0,0.0,0.0
FE3DCITexs,3.333333333333394,3.3333333333333135,8.038014698286133e-14
